title,release_year,locations,fun_facts,production_company,distributor,director,writer,actor_1,actor_2,actor_3,state,city,point,supervisor_district,data_loaded_at,analysis_neighborhood,longitude,data_as_of,latitude
Guess Who's Coming to Dinner,1967,Mel's Drive-In (Corner South Van Ness & Mission St.),This restaurant location was demolished; however another Mel's was reopened in 1986 on 3355 Geary Blvd.,Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,CA,San Francisco,POINT (-122.4044376 37.7840396),6,2024-12-18T14:30:38.000,South of Market,-122.4044376,2024-12-06T12:17:47.000,37.7840396
Shit and Champagne,2020,Don Ramon's Restaurant - 225 11th St,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.415024 37.772931),6,2024-12-18T14:30:38.000,South of Market,-122.415024,2024-12-06T12:17:47.000,37.772931
Chance- Season 1 ep104,2016,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.",,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.3865434 37.7655177),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3865434,2024-12-06T12:17:47.000,37.7655177
Super Pumped: The Battle for Uber,2022,Harrison Street between Spear and Embarcadero,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,CA,San Francisco,POINT (-122.3888455 37.7898628),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3888455,2024-12-06T12:17:47.000,37.7898628
"Murder in the First, Season 2",2015,372/374 Pennsylvania Avenue,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,CA,San Francisco,POINT (-122.3938338 37.7618033),10,2024-12-18T14:30:38.000,Potrero Hill,-122.3938338,2024-12-06T12:17:47.000,37.7618033
The Presidio,1988,Washington Street & Waverly Place (Chinatown),,Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4070248 37.7950898),3,2024-12-18T14:30:38.000,Chinatown,-122.4070248,2024-12-06T12:17:47.000,37.7950898
Blue Jasmine,2013,Marina Blvd from Laguna to Baker,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.432185 37.805118),2,2024-12-18T14:30:38.000,Marina,-122.432185,2024-12-06T12:17:47.000,37.805118
Big Eyes,2014,Nobles Alley,,Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,CA,San Francisco,POINT (-122.4074482 37.8009836),3,2024-12-18T14:30:38.000,North Beach,-122.4074482,2024-12-06T12:17:47.000,37.8009836
Etruscan Smile,2017,1227 Montgomery Street,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,CA,San Francisco,POINT (-122.4045546 37.8004678),3,2024-12-18T14:30:38.000,North Beach,-122.4045546,2024-12-06T12:17:47.000,37.8004678
Vegas in Space,1992,Corona Heights Park,,Troma Entertainment,MCA/Universal Home Video,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest,CA,San Francisco,POINT (-122.4385796 37.7653137),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4385796,2024-12-06T12:17:47.000,37.7653137
Boys and Girls,2000,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Punch 21 Productions,Dimension Films,Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,,CA,San Francisco,POINT (-122.3936136 37.7954425),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3936136,2024-12-06T12:17:47.000,37.7954425
Bullitt,1968,20th & Vermont Streets (Potrero Hill),The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.4040359 37.7595749),10,2024-12-18T14:30:38.000,Potrero Hill,-122.4040359,2024-12-06T12:17:47.000,37.7595749
Shit and Champagne,2020,1814 32nd Ave,,"Shaboom Boom, LLC",,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay,CA,San Francisco,POINT (-122.4902199 37.7532947),4,2024-12-18T14:30:38.000,Sunset/Parkside,-122.4902199,2024-12-06T12:17:47.000,37.7532947
The Princess Diaries,2001,2601 Lyon Street,,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,CA,San Francisco,POINT (-122.4470113 37.7947425),2,2024-12-18T14:30:38.000,Presidio,-122.4470113,2024-12-06T12:17:47.000,37.7947425
180,2011,Justin Herman Plaza,,SPI Cinemas,,Jayendra,"Umarji Anuradha, Jayendra, Aarthi Sriram, & Suba",Siddarth,Nithya Menon,Priya Anand,CA,San Francisco,POINT (-122.3952007 37.7951195),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3952007,2024-12-06T12:17:47.000,37.7951195
GirlBoss,2017,"The Castro Theater, 429 Castro St.",,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4347365 37.7619917),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4347365,2024-12-06T12:17:47.000,37.7619917
Summertime,2015,Love Street Vintage (1506 Haight & adjacent Haight sidewalk_,,"Creative Monster Productions, Inc.",6 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,CA,San Francisco,POINT (-122.4783452 37.7764605),1,2024-12-18T14:30:38.000,Outer Richmond,-122.4783452,2024-12-06T12:17:47.000,37.7764605
Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",This movie was the first to film in the revamped Chrissy Field Picnic Area.,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,CA,San Francisco,POINT (-122.4650165 37.8040257),2,2024-12-18T14:30:38.000,Presidio,-122.4650165,2024-12-06T12:17:47.000,37.8040257
Tales of the City,2019,"City Lights Books, 261 Columbus Ave",,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4065996 37.7976052),3,2024-12-18T14:30:38.000,Chinatown,-122.4065996,2024-12-06T12:17:47.000,37.7976052
The Laughing Policeman,1973,,,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Louis Gossett Jr.,CA,San Francisco,,,2024-12-18T14:30:38.000,,,2024-12-06T12:17:47.000,
The Dead Pool,1988,Fremont Street Exit of Bay Bridge,,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,CA,San Francisco,POINT (-122.388993 37.7896419),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.388993,2024-12-06T12:17:47.000,37.7896419
GirlBoss,2017,Various Haight St. Vintage Shops,,"Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,CA,San Francisco,POINT (-122.4465909 37.7698782),5,2024-12-18T14:30:38.000,Haight Ashbury,-122.4465909,2024-12-06T12:17:47.000,37.7698782
A Taiwanese Tale of Two Cities,2018,Sutter St at Taylor St,,Envision Productions Inc.,Netflix,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen,CA,San Francisco,POINT (-122.4119166 37.7888192),3,2024-12-18T14:30:38.000,Nob Hill,-122.4119166,2024-12-06T12:17:47.000,37.7888192
Chance - Season 1 Pilot,2016,60 Leavenworth St.,,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4135414 37.7812278),5,2024-12-18T14:30:38.000,Tenderloin,-122.4135414,2024-12-06T12:17:47.000,37.7812278
Terminator - Genisys,2015,Pine St. between Market and Kearny,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.4032 37.78793),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4032,2024-12-06T12:17:47.000,37.78793
Terminator - Genisys,2015,Construction Site in front of 260 Stockton St. at Post St.,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,CA,San Francisco,POINT (-122.406486 37.7883421),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.406486,2024-12-06T12:17:47.000,37.7883421
This Is Us,2022,Lombard Street at Hyde,,20th Television,NBC,Mandy Moore,"Dan Fogelman, Casey Johnson, David Windsor, Chrissy Metz",Milo Ventimiglia,Mandy Moore,Sterling K. Brown,CA,San Francisco,POINT (-122.4196461 37.8020026),3,2024-12-18T14:30:38.000,Russian Hill,-122.4196461,2024-12-06T12:17:47.000,37.8020026
The Diary of a Teenage Girl,2015,The Magazine at 920 Larkin,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,CA,San Francisco,POINT (-122.418059 37.7864628),3,2024-12-18T14:30:38.000,Tenderloin,-122.418059,2024-12-06T12:17:47.000,37.7864628
Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square)",The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,CA,San Francisco,POINT (-122.4061984 37.7873324),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.4061984,2024-12-06T12:17:47.000,37.7873324
San Francisco,1936,City Hall,"The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.",Metro-Goldwyn Mayer,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable,Jeanette MacDonald,Spencer Tracy,CA,San Francisco,POINT (-122.4192417 37.779275),5,2024-12-18T14:30:38.000,Tenderloin,-122.4192417,2024-12-06T12:17:47.000,37.779275
The Internship,2013,Epic Roasthouse,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Shawn Levy,Vince Vaughn,Vince Vaughn,Owen Wilson,Rose Byrne,CA,San Francisco,POINT (-122.3894682 37.7908723),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3894682,2024-12-06T12:17:47.000,37.7908723
Chance Season 2,2017,Steiner St between Jackson and Clay St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.43638 37.79219),2,2024-12-18T14:30:38.000,Pacific Heights,-122.43638,2024-12-06T12:17:47.000,37.79219
Chance- Season 1 ep106,2016,Montgomery between Pacific and Broadway,,TVM Productions,HULU,Sara Gran,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,CA,San Francisco,POINT (-122.4040634 37.7981354),3,2024-12-18T14:30:38.000,North Beach,-122.4040634,2024-12-06T12:17:47.000,37.7981354
Chance Season 2,2017,Embarcadero between Bay and Chestnut St,,TVM Productions Inc.,Hulu,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee,CA,San Francisco,POINT (-122.406061 37.806607),3,2024-12-18T14:30:38.000,North Beach,-122.406061,2024-12-06T12:17:47.000,37.806607
Pushing Dead,2016,"Matching Half Café, 1799 McAllister Street",,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,CA,San Francisco,POINT (-122.4414982 37.7773072),2,2024-12-18T14:30:38.000,Western Addition,-122.4414982,2024-12-06T12:17:47.000,37.7773072
Shang-Chi and the Legend of the Ten Rings,2021,"Lombard, Hyde and Filbert",,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,CA,San Francisco,POINT (-122.4196461 37.8020026),3,2024-12-18T14:30:38.000,Russian Hill,-122.4196461,2024-12-06T12:17:47.000,37.8020026
Fearless,1993,Kohl Building (400 Montgomery Street),,Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,CA,San Francisco,POINT (-122.402597 37.7931137),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.402597,2024-12-06T12:17:47.000,37.7931137
George of the Jungle,1997,755 Vallejo Street,,Walt Disney Pictures,Buena Vista Pictures,Sam Weisman,Jay Ward,Brendan Fraser,Leslie Mann,,CA,San Francisco,POINT (-122.4097554 37.7984704),3,2024-12-18T14:30:38.000,Chinatown,-122.4097554,2024-12-06T12:17:47.000,37.7984704
Junior,1994,United Nations Plaza (Civic Center),United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,CA,San Francisco,POINT (-122.4147491 37.7795066),5,2024-12-18T14:30:38.000,Tenderloin,-122.4147491,2024-12-06T12:17:47.000,37.7795066
The Presidio,1988,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,CA,San Francisco,POINT (-122.4785598 37.8199109),,2024-12-18T14:30:38.000,,-122.4785598,2024-12-06T12:17:47.000,37.8199109
The Matrix Resurrections,2021,1 Front St,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,CA,San Francisco,POINT (-122.3989854 37.7918198),3,2024-12-18T14:30:38.000,Financial District/South Beach,-122.3989854,2024-12-06T12:17:47.000,37.7918198
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley)",,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,CA,San Francisco,POINT (-122.4264699 37.7767054),5,2024-12-18T14:30:38.000,Hayes Valley,-122.4264699,2024-12-06T12:17:47.000,37.7767054
Tales of the City,2019,Valencia btwn Liberty and 21st St,,Universal Television LLC,Netflix,"Alan Poul, Silas Howard, Stacie Passon","Armistead Maupin, Lauren Morelli, Hansol Jung, Marcus Gardley",Laura Linney,Ellen Page,Murray Bartlett,CA,San Francisco,POINT (-122.4207642 37.7519664),8,2024-12-18T14:30:38.000,Mission,-122.4207642,2024-12-06T12:17:47.000,37.7519664
The House on Telegraph Hill,1951,Market Street,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Robert Wise,Elick Moll,Richard Basehart,Valentina Cortese,William Lundigan,CA,San Francisco,POINT (-122.4212203 37.7735081),6,2024-12-18T14:30:38.000,Mission,-122.4212203,2024-12-06T12:17:47.000,37.7735081
When a Man Loves a Woman,1994,Spring Valley School (1451 Jackson Street),,Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,CA,San Francisco,POINT (-122.4188108 37.7938177),3,2024-12-18T14:30:38.000,Russian Hill,-122.4188108,2024-12-06T12:17:47.000,37.7938177
Alcatraz,2012,Broadway from Mason to Taylor,,Bonanza Productions Inc.,Warner Bros. Television,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,,CA,San Francisco,POINT (-122.4120597 37.7974059),3,2024-12-18T14:30:38.000,Nob Hill,-122.4120597,2024-12-06T12:17:47.000,37.7974059
Venom,2018,Washington Square Park - Filbert St at Stockton St,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,CA,San Francisco,POINT (-122.4102464 37.8007752),3,2024-12-18T14:30:38.000,North Beach,-122.4102464,2024-12-06T12:17:47.000,37.8007752
Goliath- Season 4,2021,Fort Point (Golden Gate National Recreation Area),,"Picrow, Inc.",Amazon Studios,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde,CA,San Francisco,POINT (-122.47709 37.8106117),2,2024-12-18T14:30:38.000,Presidio,-122.47709,2024-12-06T12:17:47.000,37.8106117
When a Man Loves a Woman,1994,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,CA,San Francisco,POINT (-122.4087206 37.7877854),3,2024-12-18T14:30:38.000,Tenderloin,-122.4087206,2024-12-06T12:17:47.000,37.7877854
Nash Bridges,2021,Davis Street between,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.396646 37.7903624),6,2024-12-18T14:30:38.000,Financial District/South Beach,-122.396646,2024-12-06T12:17:47.000,37.7903624
High Crimes,2002,Condor Club (Columbus and Broadway),,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,CA,San Francisco,POINT (-122.4066608 37.798084),3,2024-12-18T14:30:38.000,North Beach,-122.4066608,2024-12-06T12:17:47.000,37.798084
Basic Instinct,1992,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,CA,San Francisco,POINT (-122.4048082 37.7944675),3,2024-12-18T14:30:38.000,Chinatown,-122.4048082,2024-12-06T12:17:47.000,37.7944675
Doctor Dolittle,1998,2107 Union Street,,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,CA,San Francisco,POINT (-122.4340934 37.7971178),2,2024-12-18T14:30:38.000,Marina,-122.4340934,2024-12-06T12:17:47.000,37.7971178
Nash Bridges,2021,Rowland Street,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,CA,San Francisco,POINT (-122.4046394 37.7978403),3,2024-12-18T14:30:38.000,North Beach,-122.4046394,2024-12-06T12:17:47.000,37.7978403
Blue Jasmine,2013,3563 20th St.,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,CA,San Francisco,POINT (-122.420405 37.7584613),9,2024-12-18T14:30:38.000,Mission,-122.420405,2024-12-06T12:17:47.000,37.7584613
The Last Black Man in San Francisco,2019,Market/Portola btwn O'Shaughnessy and Castro,,"LBMISF, LLC",A24,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,CA,San Francisco,POINT (-122.4278748 37.7691755),8,2024-12-18T14:30:38.000,Castro/Upper Market,-122.4278748,2024-12-06T12:17:47.000,37.7691755
Looking,2014,2413 Harrison St.,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,CA,San Francisco,POINT (-122.4121805 37.7585777),9,2024-12-18T14:30:38.000,Mission,-122.4121805,2024-12-06T12:17:47.000,37.7585777
Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),,Warner Brothers / Seven Arts Seven Arts,Warner Brothers,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn,CA,San Francisco,POINT (-122.4134592 37.7982745),3,2024-12-18T14:30:38.000,Nob Hill,-122.4134592,2024-12-06T12:17:47.000,37.7982745
